HSET,"""vlibid:41301""",id,41301,station,"""Bois de Vincennes - Gare""",status,OUI,capacity,50,nbbornettesLibre,27,nbtotalvelodispo,22,velomecadispo,19,veloelecdispo,3,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:43:38+01:00,commune,"""Nogent-sur-Marne"""
HSET,"""vlibid:15202""",id,15202,station,"""Bracion - Périphérique""",status,OUI,capacity,30,nbbornettesLibre,20,nbtotalvelodispo,10,velomecadispo,6,veloelecdispo,4,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:38:53+01:00,commune,"""Paris"""
HSET,"""vlibid:21010""",id,21010,station,"""Silly - Galliéni""",status,OUI,capacity,25,nbbornettesLibre,9,nbtotalvelodispo,15,velomecadispo,9,veloelecdispo,6,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:41:07+01:00,commune,"""Boulogne-Billancourt"""
HSET,"""vlibid:7003""",id,7003,station,"""Square Boucicaut""",status,OUI,capacity,60,nbbornettesLibre,57,nbtotalvelodispo,2,velomecadispo,0,veloelecdispo,2,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:43:51+01:00,commune,"""Paris"""
HSET,"""vlibid:25006""",id,25006,station,"""Place Nelson Mandela""",status,OUI,capacity,22,nbbornettesLibre,19,nbtotalvelodispo,2,velomecadispo,0,veloelecdispo,2,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:43:04+01:00,commune,"""Rueil-Malmaison"""
HSET,"""vlibid:5016""",id,5016,station,"""Thouin - Cardinal Lemoine""",status,OUI,capacity,17,nbbornettesLibre,10,nbtotalvelodispo,6,velomecadispo,4,veloelecdispo,2,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:38:36+01:00,commune,"""Paris"""
HSET,"""vlibid:30002""",id,30002,station,"""Jean Rostand - Paul Vaillant Couturier""",status,OUI,capacity,40,nbbornettesLibre,37,nbtotalvelodispo,3,velomecadispo,0,veloelecdispo,3,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:36:57+01:00,commune,"""Bobigny"""
HSET,"""vlibid:11025""",id,11025,station,"""Froment - Bréguet""",status,OUI,capacity,43,nbbornettesLibre,2,nbtotalvelodispo,38,velomecadispo,33,veloelecdispo,5,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:43:03+01:00,commune,"""Paris"""
HSET,"""vlibid:17038""",id,17038,station,"""Grande Armée - Brunel""",status,OUI,capacity,62,nbbornettesLibre,55,nbtotalvelodispo,7,velomecadispo,2,veloelecdispo,5,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:38:15+01:00,commune,"""Paris"""
HSET,"""vlibid:15047""",id,15047,station,"""Morillons - Dantzig""",status,OUI,capacity,52,nbbornettesLibre,43,nbtotalvelodispo,9,velomecadispo,1,veloelecdispo,8,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:42:49+01:00,commune,"""Paris"""
HSET,"""vlibid:17041""",id,17041,station,"""Guersant - Gouvion-Saint-Cyr""",status,OUI,capacity,36,nbbornettesLibre,25,nbtotalvelodispo,9,velomecadispo,6,veloelecdispo,3,bornedispo,OUI,retourvelip,OUI,actualisation,2023-11-05T20:41:46+01:00,commune,"""Paris"""
